iter	Passed	Remaining
0	173	172830
1	183	91779
2	193	64241
3	201	50231
4	208	41586
5	217	36111
6	225	31963
7	235	29159
8	242	26716
9	251	24878
10	258	23236
11	267	22011
12	275	20894
13	283	19996
14	291	19154
15	301	18535
16	308	17856
17	316	17280
18	324	16739
19	332	16285
20	339	15840
21	348	15471
22	354	15078
23	362	14739
24	370	14445
25	378	14173
26	386	13942
27	394	13696
28	402	13475
29	410	13269
30	418	13073
31	425	12878
32	437	12825
33	450	12808
34	459	12668
35	468	12555
36	482	12558
37	490	12420
38	499	12320
39	508	12204
40	517	12099
41	525	11981
42	534	11900
43	546	11864
44	554	11761
45	563	11695
46	572	11603
47	583	11567
48	591	11478
49	601	11424
50	609	11338
51	618	11276
52	626	11197
53	635	11125
54	642	11047
55	651	10982
56	659	10915
57	668	10861
58	677	10805
59	685	10738
60	693	10678
61	701	10617
62	709	10554
63	718	10510
64	727	10457
65	735	10405
66	743	10357
67	752	10318
68	763	10297
69	771	10254
70	781	10228
71	791	10200
72	800	10163
73	810	10142
74	819	10103
75	831	10105
76	843	10114
77	853	10087
78	863	10071
79	872	10038
80	882	10015
81	892	9986
82	901	9961
83	912	9950
84	921	9916
85	930	9886
86	940	9867
87	949	9835
88	958	9807
89	967	9784
90	978	9773
91	987	9748
92	996	9718
93	1006	9702
94	1016	9683
95	1027	9674
96	1040	9683
97	1051	9673
98	1061	9663
99	1071	9643
100	1081	9623
101	1091	9607
102	1100	9586
103	1110	9564
104	1119	9539
105	1128	9520
106	1138	9505
107	1150	9501
108	1159	9480
109	1169	9462
110	1178	9440
111	1188	9422
112	1197	9397
113	1208	9390
114	1217	9372
115	1230	9377
116	1240	9362
117	1249	9341
118	1259	9325
119	1270	9317
120	1281	9305
121	1291	9292
122	1302	9283
123	1311	9263
124	1320	9246
125	1329	9224
126	1339	9208
127	1350	9196
128	1361	9195
129	1373	9194
130	1386	9198
131	1397	9192
132	1408	9183
133	1420	9182
134	1433	9184
135	1444	9174
136	1455	9167
137	1468	9171
138	1479	9166
139	1490	9157
140	1502	9153
141	1514	9149
142	1529	9165
143	1540	9156
144	1553	9162
145	1565	9156
146	1577	9156
147	1587	9137
148	1597	9123
149	1607	9108
150	1620	9112
151	1631	9099
152	1640	9081
153	1650	9068
154	1661	9055
155	1670	9037
156	1682	9032
157	1692	9017
158	1701	8998
159	1713	8993
160	1722	8978
161	1732	8961
162	1743	8951
163	1752	8935
164	1762	8921
165	1773	8910
166	1782	8890
167	1791	8873
168	1800	8855
169	1810	8838
170	1819	8818
171	1828	8804
172	1838	8789
173	1848	8774
174	1858	8760
175	1868	8746
176	1878	8732
177	1887	8716
178	1897	8700
179	1907	8689
180	1917	8677
181	1926	8659
182	1936	8643
183	1945	8626
184	1955	8613
185	1965	8601
186	1974	8583
187	1984	8573
188	1994	8556
189	2003	8543
190	2015	8538
191	2025	8524
192	2036	8513
193	2045	8496
194	2055	8484
195	2064	8468
196	2074	8455
197	2084	8441
198	2093	8425
199	2103	8414
200	2112	8397
201	2122	8385
202	2133	8377
203	2143	8362
204	2154	8357
205	2164	8343
206	2173	8326
207	2184	8316
208	2193	8300
209	2203	8287
210	2212	8271
211	2222	8260
212	2231	8245
213	2240	8230
214	2250	8217
215	2260	8202
216	2269	8187
217	2278	8172
218	2287	8157
219	2297	8144
220	2306	8129
221	2316	8117
222	2325	8101
223	2334	8086
224	2343	8070
225	2352	8055
226	2362	8043
227	2371	8031
228	2381	8018
229	2391	8006
230	2400	7992
231	2412	7987
232	2421	7971
233	2430	7957
234	2439	7942
235	2449	7928
236	2459	7918
237	2468	7901
238	2481	7900
239	2491	7888
240	2500	7875
241	2510	7864
242	2520	7852
243	2530	7841
244	2540	7828
245	2550	7816
246	2560	7806
247	2569	7790
248	2578	7778
249	2587	7763
250	2597	7750
251	2607	7739
252	2615	7723
253	2625	7711
254	2634	7695
255	2644	7684
256	2654	7672
257	2662	7657
258	2671	7643
259	2681	7631
260	2691	7621
261	2701	7609
262	2711	7597
263	2720	7585
264	2730	7572
265	2741	7564
266	2750	7550
267	2760	7540
268	2770	7528
269	2779	7513
270	2789	7503
271	2797	7488
272	2811	7487
273	2821	7474
274	2829	7459
275	2839	7447
276	2847	7432
277	2857	7420
278	2865	7406
279	2874	7391
280	2883	7378
281	2892	7365
282	2902	7353
283	2911	7339
284	2921	7328
285	2930	7315
286	2939	7303
287	2949	7291
288	2958	7278
289	2968	7268
290	2978	7255
291	2987	7244
292	2998	7236
293	3009	7226
294	3021	7221
295	3032	7212
296	3041	7200
297	3051	7189
298	3060	7175
299	3069	7161
300	3077	7146
301	3086	7132
302	3095	7120
303	3104	7107
304	3113	7094
305	3123	7083
306	3132	7070
307	3140	7056
308	3149	7043
309	3158	7029
310	3167	7017
311	3177	7005
312	3185	6991
313	3194	6980
314	3205	6971
315	3214	6958
316	3223	6944
317	3232	6932
318	3241	6920
319	3262	6932
320	3279	6936
321	3292	6932
322	3302	6922
323	3310	6908
324	3318	6892
325	3326	6878
326	3334	6863
327	3343	6850
328	3350	6834
329	3359	6820
330	3366	6804
331	3375	6791
332	3383	6777
333	3392	6765
334	3400	6750
335	3408	6736
336	3416	6721
337	3425	6708
338	3433	6694
339	3441	6681
340	3449	6666
341	3458	6653
342	3465	6638
343	3474	6626
344	3482	6612
345	3491	6600
346	3499	6586
347	3508	6573
348	3516	6558
349	3524	6545
350	3532	6531
351	3542	6521
352	3550	6507
353	3558	6493
354	3566	6479
355	3574	6466
356	3583	6454
357	3591	6440
358	3599	6426
359	3606	6412
360	3614	6398
361	3622	6385
362	3631	6372
363	3640	6360
364	3648	6347
365	3657	6335
366	3665	6322
367	3673	6308
368	3681	6296
369	3694	6290
370	3703	6278
371	3711	6265
372	3719	6251
373	3727	6239
374	3734	6224
375	3742	6210
376	3750	6198
377	3757	6183
378	3766	6170
379	3774	6157
380	3781	6144
381	3789	6130
382	3797	6117
383	3805	6104
384	3814	6092
385	3822	6079
386	3830	6067
387	3838	6055
388	3847	6042
389	3855	6030
390	3864	6018
391	3872	6006
392	3880	5994
393	3889	5981
394	3898	5971
395	3906	5958
396	3915	5947
397	3924	5936
398	3934	5925
399	3944	5916
400	3952	5903
401	3962	5894
402	3970	5881
403	3981	5873
404	3990	5862
405	3999	5851
406	4008	5840
407	4017	5829
408	4028	5821
409	4037	5810
410	4047	5800
411	4057	5791
412	4065	5778
413	4075	5769
414	4087	5761
415	4098	5753
416	4108	5743
417	4117	5732
418	4126	5722
419	4135	5710
420	4143	5698
421	4152	5687
422	4162	5677
423	4171	5667
424	4181	5656
425	4190	5646
426	4198	5634
427	4208	5625
428	4218	5614
429	4226	5602
430	4236	5592
431	4244	5581
432	4254	5571
433	4264	5561
434	4273	5551
435	4283	5541
436	4292	5530
437	4301	5519
438	4310	5508
439	4319	5497
440	4327	5485
441	4336	5474
442	4345	5463
443	4354	5452
444	4362	5441
445	4371	5430
446	4381	5420
447	4389	5408
448	4398	5397
449	4407	5386
450	4417	5378
451	4427	5368
452	4437	5358
453	4447	5348
454	4457	5338
455	4468	5330
456	4486	5330
457	4499	5325
458	4509	5315
