iter	Passed	Remaining
0	7	7004
1	13	6843
2	20	6669
3	26	6665
4	32	6537
5	40	6632
6	46	6640
7	53	6674
8	60	6640
9	66	6617
10	74	6655
11	80	6627
12	86	6602
13	92	6541
14	98	6460
15	103	6366
16	108	6273
17	112	6161
18	118	6106
19	122	6016
20	127	5943
21	132	5885
22	138	5881
23	142	5798
24	146	5722
25	150	5655
26	156	5636
27	160	5577
28	165	5546
29	170	5519
30	175	5492
31	181	5486
32	186	5462
33	191	5430
34	195	5391
35	199	5345
36	204	5310
37	208	5287
38	214	5282
39	218	5246
40	223	5233
41	227	5191
42	232	5180
43	238	5184
44	244	5189
45	249	5180
46	253	5149
47	258	5130
48	262	5100
49	267	5089
50	272	5069
51	278	5068
52	282	5051
53	286	5026
54	292	5018
55	296	4998
56	303	5029
57	308	5008
58	312	4988
59	316	4964
60	322	4959
61	326	4934
62	330	4916
63	334	4896
64	340	4892
65	343	4860
66	349	4863
67	354	4856
68	359	4845
69	364	4845
70	371	4860
71	375	4839
72	381	4839
73	385	4827
74	390	4810
75	393	4787
76	397	4763
77	403	4764
78	408	4765
79	414	4761
80	418	4747
81	424	4749
82	428	4735
83	433	4724
84	437	4712
85	442	4707
86	447	4696
87	452	4688
88	457	4678
89	461	4668
90	466	4659
91	470	4644
92	475	4638
93	480	4628
94	485	4626
95	491	4631
96	496	4625
97	502	4622
98	507	4621
99	513	4625
100	518	4618
101	525	4624
102	530	4617
103	535	4611
104	541	4612
105	546	4611
106	552	4608
107	557	4608
108	563	4604
109	567	4591
110	572	4586
111	577	4576
112	582	4575
113	588	4577
114	593	4567
115	598	4558
116	602	4545
117	607	4539
118	612	4536
119	617	4529
120	622	4522
121	626	4510
122	632	4506
123	637	4505
124	642	4500
125	648	4499
126	652	4484
127	655	4467
128	660	4458
129	664	4446
130	668	4433
131	673	4430
132	683	4457
133	688	4451
134	693	4443
135	698	4435
136	702	4426
137	708	4427
138	713	4417
139	717	4405
140	722	4399
141	726	4388
142	731	4381
143	738	4387
144	745	4398
145	752	4400
146	758	4400
147	764	4398
148	769	4397
149	775	4394
